"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"936","Prebona","-58,5%","31%","-10,2","-7,7","-0,06","27,3",,"56","49,0","-2,5%","-20,5%","-6,6%"
"333","Precio Fishbone","5,0%","-7%","18,7","-12,4","-4,21","1,2","-1,5","196","45,5","-0,5%","-11,0%","-6,1%"
"178","Precise Biometrics","-6,5%","-19%","-29,5","-37,2","-0,22","2,1",,"315","61,8","19,2%","-12,6%","13,1%"
"334","Precomp Solutions","-1,1%","24%","10,6","32,8","-0,10","0,8",,"18","33,7","-6,0%","-15,7%","-13,6%"
"451","Premium Snacks","12,0%","23%","22,9","23,0","-0,81","4,7","0,0","326","67,1","4,6%","25,9%","24,2%"
"1878","Preservia Hyresfastigheter","-2,0%","-0%","-1,6","0,6","0,31","0,0",,"2","59,5","-8,3%","0,8%","20,0%"
"2302","Preservium Property","2,6%","68%","27,3","28,1","-0,04","0,6","0,4","185","18,6","-5,2%","8,7%","-14,2%"
"179","Prevas","9,2%","20%","12,8","-25,0","-16,62","2,0","-0,6","1276","34,5","-3,4%","-12,9%","-9,5%"
"180","Pricer","13,3%","5%","7,4","-53,9","-0,52","1,2","0,0","1305","29,4","-4,5%","-14,8%","-18,9%"
"2536","Prisma Properties","1,6%","29%","49,8","-8,2","-5,21","0,9","1,2","3998","45,6","-3,0%","-1,7%","-7,3%"
"181","Proact IT","12,6%","-7%","10,1","6,0","-1,02","2,8","0,5","3387","54,7","0,7%","-11,0%","2,8%"
"184","ProfilGruppen","11,8%","4%","6,0","40,5","-9,46","1,4","3,0","906","65,1","2,2%","2,0%","6,1%"
"2228","Profoto","25,0%","24%","10,7","-49,9","-3,33","4,3","-0,7","1588","51,6","-1,6%","-19,6%","-0,7%"
"1718","Projektengagemang","2,4%","22%","12,1","3,7","-0,05","0,3","0,0","176","42,1","-4,1%","-25,4%","-10,3%"
"1424","Prolight Diagnostics","-20,7%","-9%","-12,0","-6,6","-0,03","2,7",,"344","47,8","-3,4%","76,7%","-2,0%"
